feature,label,spearman_r,pointbiserial_r,auc,n
cancel_rate_anomaly_7d,y_dep_ge15,0.004411786548601162,0.0027944648154788762,0.5027018441287552,42727
cancel_rate_anomaly_7d,y_dep_ge60,-0.023782950454984575,-0.024584968476714427,0.47755048483256074,42727
cancel_rate_anomaly_7d,y_dep_ge120,-0.016338813254564922,-0.015812544277684547,0.4735582761833276,42727
